qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim,Purpose Specification,"The pattern 'Purpose Specification' is not applicable to this query as it does not involve a product, service, or concept that can be clarified by specifying its intended use.",False,high
1037496,who is rep scalise?,what are the roles and responsibilities of rep scalise,Purpose Specification,"The query was transformed to specify the intended use or application, focusing on the roles and responsibilities of Rep Scalise.",True,high
1043135,who killed nicholas ii of russia,who was responsible for the assassination of nicholas ii of russia,Purpose Specification,"The query was reformulated to specify the intended use, which is to identify the person or group responsible for the assassination.",True,high
1051399,who sings monk theme song,who sings the theme song for the tv show monk,Purpose Specification,Specified the intended use by clarifying that the query is about identifying the singer of the theme song for the TV show 'Monk'.,True,high
1064670,why do hunters pattern their shotguns?,what is the purpose of patterning shotguns for hunting,Purpose Specification,The reformulated query specifies the intended use (hunting) to make the query more focused.,True,high
1071750,why is pete rose banned from hall of fame,what are the reasons for pete rose's ban from the hall of fame,Purpose Specification,"The query was reformulated to specify the intended use, which is to understand the reasons behind Pete Rose's ban.",True,high
1105792,define: geon,what is the purpose of geon,Purpose Specification,The query was transformed to specify the intended use or application of 'geon' to make it more focused.,True,high
1106979,define pareto chart in statistics,what is a pareto chart used for in statistical analysis,Purpose Specification,The reformulated query specifies the intended use of a Pareto chart in statistical analysis to make the query more focused.,True,high
1108651,what the best way to get clothes white,what is the best method to whiten clothes,Purpose Specification,The intended use of whitening clothes is specified to make the query more focused.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves travel through for communication,Purpose Specification,"The purpose of radio wave transmission, which is primarily for communication, has been specified to make the query more focused.",True,high
1110678,what is the un fao,what is the purpose of the un fao,Purpose Specification,"The query was transformed to specify the intended use or application of the UN FAO, making it more focused.",True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's net worth used for financial assessments,Purpose Specification,The intended use of Reba McEntire's net worth information was specified to focus on its application in financial assessments.,True,medium
1115210,what is chaff and flare,what are chaff and flare used for,Purpose Specification,The reformulated query specifies the intended use or application of chaff and flare to make the query more focused.,True,high
1116380,what is a nonconformity? earth science,what is the purpose of identifying nonconformities in earth science,Purpose Specification,The reformulated query specifies the intended use or application of understanding nonconformities within the context of earth science.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what actions can be taken to address workplace discrimination in oklahoma city,Purpose Specification,The query was reformulated to specify the intended use of identifying actionable steps to address workplace discrimination.,True,high
1122767,what amino produces carnitine,which amino acid is used for producing carnitine,Purpose Specification,"The query was reformulated to specify the intended use of the amino acid, which is for producing carnitine.",True,high
1127540,meaning of shebang,what is the purpose of shebang in scripts,Purpose Specification,"The reformulated query specifies the intended use or application of shebang, focusing on its role in scripts.",True,high
1131069,how many sons robert kraft has,how many sons does robert kraft have for family tree purposes,Purpose Specification,"The purpose of knowing the number of sons is specified as being for a family tree, making the query more focused.",True,high
1132532,average annual income data analyst,average annual income for a data analyst position,Purpose Specification,"Specified the intended use of the average annual income data, focusing on the data analyst position.",True,high
1133579,how does granulation tissue start,what is the purpose of granulation tissue formation,Purpose Specification,"The query was transformed to specify the intended use or application of granulation tissue, focusing on its purpose in the healing process.",True,high
1136043,difference between a hotel and motel,intended use of hotels versus motels,Purpose Specification,"The query was transformed to focus on the intended use or application of hotels and motels, making it more specific.",True,high
1136047,difference between a company's strategy and business model is,how to distinguish between a company's strategy and business model,Purpose Specification,"The reformulated query specifies the intended use of understanding the distinction, making it more focused.",True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?",what was the purpose of calling ancient egypt kemet or black land,Purpose Specification,The reformulated query specifies the intended use or application by asking about the purpose behind naming the land 'Kemet' or 'Black Land'.,True,high
118440,define bmt medical,what is bmt used for in medical treatments,Purpose Specification,The query was transformed to specify the intended use of BMT (Bone Marrow Transplant) in a medical context.,True,high
121171,define etruscans,what is the purpose of studying etruscans,Purpose Specification,"The query was transformed to specify the intended use or application of studying Etruscans, making it more focused.",True,high
135802,definition of laudable,definition of laudable for academic writing,Purpose Specification,Specified the intended use (academic writing) to make the query more focused.,True,high
141630,describe how muscles and bones work together to produce movement,what is the function of muscles and bones working together to produce movement,Purpose Specification,"The query was transformed to specify the intended use or application, focusing on the function of muscles and bones in producing movement.",True,high
156498,do google docs auto save,how does google docs auto save work for document recovery,Purpose Specification,"The reformulated query specifies the intended use of Google Docs' auto-save feature, focusing on its purpose for document recovery.",True,high
169208,does mississippi have an income tax,what is the purpose of mississippi's income tax,Purpose Specification,"The query was transformed to specify the intended use or application of Mississippi's income tax, making it more focused.",True,high
174463,dog day afternoon meaning,what does 'dog day afternoon' mean,Purpose Specification,The query was reformulated to specify the intended use of understanding the meaning of the phrase.,True,high
23849,are naturalization records public information,how can naturalization records be used for genealogical research,Purpose Specification,The intended use of naturalization records is specified as being for genealogical research to make the query more focused.,True,high
258062,how long does it take to remove wisdom tooth,how long does it take to remove a wisdom tooth for recovery,Purpose Specification,"The purpose of the removal is specified as being for recovery, making the query more focused.",True,high
324585,how much money do motivational speakers make,what is the typical income range for motivational speakers,Purpose Specification,"The query was reformulated to specify the intended use of understanding the income range, making it more focused.",True,high
330975,how much would it cost to install my own wind turbine,what would it cost to install a wind turbine for residential energy generation,Purpose Specification,The intended use of the wind turbine (for residential energy generation) is specified to make the query more focused.,True,high
332593,how often to button quail lay eggs,what is the egg-laying frequency of button quail for breeding purposes,Purpose Specification,"The purpose of understanding the egg-laying frequency was specified as being for breeding purposes, making the query more focused.",True,high
336901,how old is vanessa redgrave,how old is vanessa redgrave for a biography,Purpose Specification,Specified the intended use of the information (for a biography) to make the query more focused.,True,high
390360,ia suffix meaning,what does the ia suffix mean in linguistic terms,Purpose Specification,The purpose of understanding the meaning of the 'ia' suffix is specified as being in linguistic terms to make the query more focused.,True,high
405163,is caffeine an narcotic,is caffeine used as a narcotic,Purpose Specification,"The query was reformulated to specify the intended use of caffeine, focusing on whether it is used as a narcotic.",True,high
42255,average salary for dental hygienist in nebraska,average salary for dental hygienist in nebraska for job postings,Purpose Specification,"Specified the intended use of the salary information, focusing on job postings.",True,high
47210,average wedding dress alteration cost,cost of altering a wedding dress for better fit,Purpose Specification,The purpose of the alteration (for better fit) is specified to make the query more focused.,True,high
555530,what are best foods to lower cholesterol,what are the best foods to lower cholesterol for heart health,Purpose Specification,"The intended use of lowering cholesterol is specified as being for heart health, making the query more focused.",True,high
583468,what carvedilol used for,what is carvedilol used for,Purpose Specification,"The query was reformulated to specify the intended use of carvedilol, making it more focused.",True,high
640502,what does it mean if your tsh is low,what does a low tsh level indicate about thyroid function,Purpose Specification,The reformulated query specifies the intended use of understanding what a low TSH level indicates about thyroid function.,True,high
67316,can fever cause miscarriage early pregnancy,what are the risks of fever during early pregnancy on miscarriage,Purpose Specification,"The query was reformulated to specify the intended use, which is to understand the risks associated with fever in early pregnancy regarding miscarriage.",True,high
673670,what is a alm,what is the purpose of alm,Purpose Specification,The intended use or application of 'alm' is specified to make the query more focused.,True,high
701453,what is a statutory deed,what is a statutory deed used for,Purpose Specification,The intended use or application of a statutory deed is specified to make the query more focused.,True,high
730539,what is chronometer who invented it,what is the purpose of a chronometer and who invented it,Purpose Specification,The reformulated query specifies the intended use or application of a chronometer to make the query more focused.,True,high
768208,what is mamey,what is mamey used for,Purpose Specification,"The query was transformed to specify the intended use or application of mamey, making it more focused.",True,high
877809,what metal are hip replacements made of,what metals are used for hip replacement implants,Purpose Specification,"The query was reformulated to specify the intended use of the metals, focusing on their application in hip replacement implants.",True,high
911232,"what type of conflict does della face in o, henry the gift of the magi",what is the purpose of della's conflict in o henry's the gift of the magi,Purpose Specification,"The query was transformed to specify the intended use or application, focusing on the purpose of Della's conflict.",True,high
914916,what type of tissue are bronchioles,what is the function of bronchioles in the respiratory system,Purpose Specification,"The query was transformed to specify the intended use or application of bronchioles, focusing on their function within the respiratory system.",True,high
938400,when did family feud come out?,when was family feud first aired for public viewing,Purpose Specification,The reformulated query specifies the intended use of identifying when the show became available to the public.,True,high
940547,when did rock n roll begin?,what was the purpose of rock n roll when it began,Purpose Specification,"The reformulated query specifies the intended use or application of rock n roll at its inception, focusing on its purpose.",True,high
997622,where is the show shameless filmed,where is the filming location for the show shameless,Purpose Specification,The purpose of finding the filming location is specified to make the query more focused.,True,high
