qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1037496,who is rep scalise?,who is rep scalise currently,Temporal Adjustment,"Added 'currently' to reflect a more accurate time frame, aligning with the user's intent to know about Rep. Scalise in the present.",True,high
1043135,who killed nicholas ii of russia,who killed nicholas ii of russia,Temporal Adjustment,The query does not contain time-related terms that can be adjusted to better align with the user's intent.,False,high
1051399,who sings monk theme song,who sings monk theme song currently,Temporal Adjustment,"Added 'currently' to reflect a more accurate time frame, assuming the user is interested in who performs the song at present.",True,high
1064670,why do hunters pattern their shotguns?,why do hunters pattern their shotguns before hunting season,Temporal Adjustment,Added a temporal context to specify when hunters typically pattern their shotguns.,True,high
1071750,why is pete rose banned from hall of fame,why was pete rose banned from hall of fame,Temporal Adjustment,Adjusted 'is' to 'was' to reflect the historical nature of the ban.,True,high
1105792,define: geon,define: geon,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
1106979,define pareto chart in statistics,define pareto chart in statistics,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1108651,what the best way to get clothes white,what is the best way to get clothes white now,Temporal Adjustment,"Added 'now' to reflect a current or immediate time frame, aligning with the user's intent to find the best method currently available.",True,high
1109707,what medium do radio waves travel through,what medium do radio waves travel through,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1110678,what is the un fao,what is the current un fao,Temporal Adjustment,Added 'current' to reflect a more accurate and relevant time frame.,True,high
1113256,what is reba mcentire's net worth,what was reba mcentire's net worth as of 2023,Temporal Adjustment,"The query was adjusted to specify a more recent and relevant time frame, aligning with the user's likely intent to know the current or most recent net worth.",True,high
1115210,what is chaff and flare,what is chaff and flare,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1116380,what is a nonconformity? earth science,what is a nonconformity? earth science,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what can you do about current discrimination in the workplace in oklahoma city,Temporal Adjustment,Added 'current' to specify that the query is about present-day discrimination.,True,high
1122767,what amino produces carnitine,what amino acid produces carnitine,Temporal Adjustment,"The original query does not contain any temporal aspects that can be adjusted. The query is about a factual relationship between an amino acid and the production of carnitine, which is not time-dependent.",False,high
1127540,meaning of shebang,meaning of shebang,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted.,False,high
1131069,how many sons robert kraft has,how many sons does robert kraft have currently,Temporal Adjustment,"The query was adjusted to reflect a current time frame, ensuring the information sought is up-to-date.",True,high
1132532,average annual income data analyst,average annual income data analyst 2023,Temporal Adjustment,Added a specific year to reflect the most current and relevant time frame for the query.,True,high
1133579,how does granulation tissue start,how does granulation tissue begin,Temporal Adjustment,Changed 'start' to 'begin' to better align with the user's intent regarding the initiation of the process.,True,high
1136043,difference between a hotel and motel,difference between a hotel and motel,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
1136047,difference between a company's strategy and business model is,difference between a company's strategy and business model currently,Temporal Adjustment,Added 'currently' to reflect the current state or understanding of the difference.,True,high
1136962,"why did the ancient egyptians call their land kemet, or black land?","why did ancient egyptians call their land kemet, or black land?",Temporal Adjustment,The temporal aspect of the query is already appropriate for the historical context and does not require adjustment.,False,high
118440,define bmt medical,define bmt medical,Temporal Adjustment,The original query does not contain any time-related terms that can be adjusted.,False,high
121171,define etruscans,define etruscans,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted to better align with the user's intent.,False,high
135802,definition of laudable,definition of laudable,Temporal Adjustment,The query does not contain any time-related terms that can be adjusted.,False,high
141630,describe how muscles and bones work together to produce movement,describe how muscles and bones work together to produce movement,Temporal Adjustment,"The original query does not contain any time-related terms that can be adjusted. The intent is to understand the general mechanism of muscle and bone interaction, which is not time-specific.",False,high
156498,do google docs auto save,do google docs auto save currently,Temporal Adjustment,Added 'currently' to reflect the user's intent of understanding the current functionality.,True,high
169208,does mississippi have an income tax,does mississippi currently have an income tax,Temporal Adjustment,Added 'currently' to reflect the present time frame and ensure the query is up-to-date.,True,high
