qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,what are aziz hashim's contributions to business,Conceptual Shift,"Shifted the focus from identifying Aziz Hashim to understanding his contributions, which better aligns with a deeper inquiry into his significance.",True,high
1037496,who is rep scalise?,what is steve scalise's role in congress,Conceptual Shift,"Shifted the focus from 'who is' to a related concept of understanding his role, which better aligns with the user's intent to learn about Steve Scalise.",True,high
1043135,who killed nicholas ii of russia,who was responsible for nicholas ii of russia's death,Conceptual Shift,"Shifted the focus from 'killed' to 'responsible for...death', which better aligns with understanding the circumstances and parties involved in Nicholas II's demise.",True,high
1051399,who sings monk theme song,who performs monk theme song,Conceptual Shift,Shifted the focus from 'sings' to 'performs' to better align with the user's intent of identifying the artist responsible for the theme song.,True,high
1064670,why do hunters pattern their shotguns?,why do hunters adjust their shotgun patterns,Conceptual Shift,"Shifted the focus from 'patterning' to 'adjusting patterns,' which better aligns with the user's intent of understanding the process and purpose.",True,high
1071750,why is pete rose banned from hall of fame,what are the reasons for pete rose's exclusion from the hall of fame,Conceptual Shift,Shifted the focus from 'banned' to 'reasons for exclusion' to better align with the user's intent of understanding the underlying causes.,True,high
1105792,define: geon,define: geophysical,Conceptual Shift,"Shifted from 'geon' to 'geophysical', a related concept that better aligns with potential user intent in understanding geological or Earth-related terms.",True,high
1106979,define pareto chart in statistics,what is a pareto analysis in statistics,Conceptual Shift,"Shifted the focus from 'pareto chart' to 'pareto analysis', which is a related concept that better aligns with understanding the statistical method.",True,high
1108651,what the best way to get clothes white,what is the best method to whiten clothes,Conceptual Shift,"Shifted the focus from 'get clothes white' to 'whiten clothes', which more precisely aligns with the intent of improving the appearance of clothes.",True,high
1109707,what medium do radio waves travel through,how do radio waves propagate,Conceptual Shift,"Shifted the focus from 'travel through' to 'propagate', which better aligns with understanding the movement and transmission of radio waves.",True,high
1110678,what is the un fao,what is the un food and agriculture organization,Conceptual Shift,Shifted from 'UN FAO' to 'UN Food and Agriculture Organization' to provide a more descriptive term that aligns with the user's intent.,True,high
