qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow in home aquariums,Contextual Restriction,The scope of the query was limited by adding a specific context (home aquariums) to refine the search results.,True,high
1110199,what is wifi vs bluetooth,differences between wifi and bluetooth for home devices,Contextual Restriction,"The scope of the query was narrowed down to a specific scenario, focusing on the differences between WiFi and Bluetooth in the context of home devices.",True,high
1063750,why did the us volunterilay enter ww1,reasons for us voluntary entry into ww1,Contextual Restriction,The scope of the query was narrowed down to focus specifically on the reasons or factors that led to the US voluntarily entering WWI.,True,high
130510,definition declaratory judgment,definition of declaratory judgment in civil law,Contextual Restriction,"The scope of the query was narrowed down by specifying the context to 'civil law', which provides a more specific scenario for understanding the definition.",True,high
489204,right pelvic pain causes,right pelvic pain causes in women,Contextual Restriction,"The scope of the query was narrowed down by specifying a demographic, which can provide more targeted and relevant results.",True,high
573724,what are the social determinants of health,social determinants of health in urban areas,Contextual Restriction,"The scope of the query was narrowed down to focus specifically on urban areas, which provides a more specific context for the search.",True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia in hospital environments,Contextual Restriction,Added a specific context (hospital environments) to narrow down the scope of the query.,True,high
1133167,how is the weather in jamaica,current weather conditions in jamaica,Contextual Restriction,"Added 'current' to specify the present weather conditions, narrowing down the context.",True,high
527433,types of dysarthria from cerebral palsy,types of dysarthria specifically caused by cerebral palsy,Contextual Restriction,"The scope was narrowed down to focus specifically on dysarthria caused by cerebral palsy, adding a condition that refines the search results.",True,high
1037798,who is robert gray,robert gray baseball player,Contextual Restriction,Added a specific context (baseball player) to narrow down the search results for Robert Gray.,True,high
915593,what types of food can you cook sous vide,types of meat that can be cooked sous vide,Contextual Restriction,"The scope was narrowed down to a specific category of food, namely 'meat', to refine the search results.",True,high
264014,how long is life cycle of flea,life cycle of flea under typical household conditions,Contextual Restriction,Added a specific condition (typical household) to narrow down the context and refine the search results.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce on steep slopes,Contextual Restriction,Added a specific condition (steep slopes) to narrow down the context of the query.,True,high
962179,when was the salvation army founded,when was the salvation army founded in the united kingdom,Contextual Restriction,Added a specific location (United Kingdom) to narrow down the context of the query.,True,high
1117099,what is a active margin,active margin in plate tectonics,Contextual Restriction,"The scope of the query was narrowed down to a specific context within geology, focusing on plate tectonics.",True,high
148538,difference between rn and bsn,difference between rn and bsn in the context of nursing education,Contextual Restriction,Added a specific context (nursing education) to narrow down the scope of the query.,True,high
451602,medicare's definition of mechanical ventilation,medicare's definition of mechanical ventilation for home use,Contextual Restriction,Added a specific context (for home use) to narrow down the scope of the query.,True,high
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid given its base lengths,Contextual Restriction,Added a specific condition (given its base lengths) to narrow down the context and refine the search results.,True,high
1115776,what is an aml surveillance analyst,responsibilities of an aml surveillance analyst in a financial institution,Contextual Restriction,The scope of the query was narrowed down by specifying the context to 'in a financial institution' to refine the search results.,True,high
1112341,what is the daily life of thai people,daily life of thai people in urban areas,Contextual Restriction,The scope was narrowed down by specifying 'urban areas' to refine the search results.,True,high
131843,definition of a sigmet,definition of a sigmet in aviation meteorology,Contextual Restriction,Added 'in aviation meteorology' to narrow down the context and refine the search results.,True,high
104861,cost of interior concrete flooring,cost of interior concrete flooring for a 1000 sq ft home,Contextual Restriction,Added a specific condition (for a 1000 sq ft home) to narrow down the context and refine the search results.,True,high
833860,what is the most popular food in switzerland,most popular food in switzerland among tourists,Contextual Restriction,Added a specific context (among tourists) to narrow down the scope of the query.,True,high
207786,how are some sharks warm blooded,which species of sharks are warm blooded,Contextual Restriction,The scope was narrowed down to specific shark species that exhibit warm-blooded characteristics.,True,high
1114819,what is durable medical equipment consist of,what does durable medical equipment consist of for home use,Contextual Restriction,Added a specific context (for home use) to narrow down the scope of the query.,True,high
183378,exons definition biology,definition of exons in eukaryotic biology,Contextual Restriction,The scope was narrowed down to specifically focus on exons within the context of eukaryotic biology.,True,high
1106007,define visceral?,define visceral in medical terminology,Contextual Restriction,Added a specific context (medical terminology) to narrow down the definition of 'visceral'.,True,high
1124210,tracheids are part of _____.,tracheids are part of which plant tissue type,Contextual Restriction,"The scope was narrowed by specifying that tracheids are a component of a particular type of plant tissue, refining the search to focus on their role in plant anatomy.",True,high
490595,rsa definition key,rsa definition key in cryptography,Contextual Restriction,Added 'in cryptography' to narrow down the context and refine the search results.,True,high
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states after the dissolution of the soviet union,Contextual Restriction,Added a specific context (after the dissolution of the Soviet Union) to narrow down the time frame and provide more precise results.,True,high
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy in patients with hypertension,Contextual Restriction,The scope of the query was narrowed down by specifying a specific condition (hypertension) to refine the search results.,True,high
443396,lps laws definition,definition of lps laws in the context of real estate,Contextual Restriction,Added a specific context (real estate) to narrow down the scope of the query.,True,high
