qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do pet fish grow,Generalization,The term 'goldfish' was replaced with 'pet fish' to broaden the query to cover a wider range of related topics.,True,high
1110199,what is wifi vs bluetooth,compare wireless communication technologies,Generalization,Replaced 'wifi' and 'bluetooth' with 'wireless communication technologies' to broaden the scope of the query.,True,high
1063750,why did the us volunterilay enter ww1,why did countries voluntarily enter world wars,Generalization,Replaced 'US' with 'countries' and 'WW1' with 'world wars' to broaden the query.,True,high
130510,definition declaratory judgment,what is a declaratory judgment,Generalization,"The term 'definition' was removed to broaden the scope of the query, allowing for more general information about declaratory judgments.",True,high
489204,right pelvic pain causes,pelvic pain causes,Generalization,"The term 'right' was removed to generalize the query to cover pelvic pain in general, rather than a specific side.",True,high
573724,what are the social determinants of health,what are the factors influencing health,Generalization,The term 'social determinants' was replaced with 'factors influencing' to broaden the scope of the query.,True,high
168216,does legionella pneumophila cause pneumonia,do bacteria cause pneumonia,Generalization,Replaced 'legionella pneumophila' with 'bacteria' to broaden the query to cover a wider range of related pathogens.,True,high
1133167,how is the weather in jamaica,what are the climate conditions in caribbean countries,Generalization,The specific term 'Jamaica' was replaced with 'Caribbean countries' to broaden the query while maintaining the intent of understanding weather or climate.,True,high
527433,types of dysarthria from cerebral palsy,types of speech disorders from neurological conditions,Generalization,Replaced 'dysarthria' with 'speech disorders' and 'cerebral palsy' with 'neurological conditions' to broaden the query.,True,high
1037798,who is robert gray,who are notable figures with the last name gray,Generalization,The specific term 'robert gray' was replaced with a more general term 'notable figures with the last name gray' to broaden the query.,True,high
915593,what types of food can you cook sous vide,what kinds of dishes can be prepared using precision cooking techniques,Generalization,Replaced 'types of food' with 'kinds of dishes' and 'sous vide' with 'precision cooking techniques' to broaden the query.,True,high
264014,how long is life cycle of flea,what is the life cycle of common parasites,Generalization,The term 'flea' was replaced with 'common parasites' to broaden the query to cover a wider range of related topics.,True,high
1121402,what can contour plowing reduce,what can agricultural practices reduce,Generalization,Replaced 'contour plowing' with 'agricultural practices' to broaden the query.,True,high
962179,when was the salvation army founded,when was the charitable organization founded,Generalization,The specific term 'Salvation Army' was replaced with the more general term 'charitable organization' to broaden the query.,True,high
1117099,what is a active margin,what are active margins,Generalization,"The term 'a' was replaced with 'are' to broaden the query from a single instance to multiple instances, encompassing a wider range of related topics.",True,high
148538,difference between rn and bsn,difference between nursing degrees,Generalization,Replaced 'RN' and 'BSN' with 'nursing degrees' to broaden the query to cover a wider range of related topics.,True,high
451602,medicare's definition of mechanical ventilation,definition of respiratory support in healthcare,Generalization,Replaced 'medicare' with 'healthcare' and 'mechanical ventilation' with 'respiratory support' to broaden the scope.,True,high
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a quadrilateral,Generalization,"The term 'trapezoid' was replaced with 'quadrilateral', which is a more general category that includes trapezoids.",True,high
1115776,what is an aml surveillance analyst,what does a financial surveillance analyst do,Generalization,Replaced 'aml' with 'financial' to broaden the scope of the query while maintaining the focus on surveillance and analysis in finance.,True,high
1112341,what is the daily life of thai people,what is the daily life of southeast asian people,Generalization,The term 'Thai' was replaced with 'Southeast Asian' to broaden the query to cover a wider range of related topics.,True,high
131843,definition of a sigmet,what are significant meteorological phenomena,Generalization,Replaced 'sigmet' with 'significant meteorological phenomena' to broaden the query while maintaining its intent.,True,high
104861,cost of interior concrete flooring,cost of concrete flooring,Generalization,"The term 'interior' was removed to broaden the scope to all types of concrete flooring, not just interior.",True,high
833860,what is the most popular food in switzerland,what are popular foods in switzerland,Generalization,The term 'most popular' was replaced with 'popular' to broaden the query and cover a wider range of well-liked foods.,True,high
207786,how are some sharks warm blooded,how are some marine animals warm blooded,Generalization,Replaced 'sharks' with 'marine animals' to broaden the query to cover a wider range of related topics.,True,high
1114819,what is durable medical equipment consist of,what does medical equipment include,Generalization,The term 'durable medical equipment' was replaced with 'medical equipment' to broaden the scope of the query.,True,high
183378,exons definition biology,genetic elements definition biology,Generalization,Replaced 'exons' with 'genetic elements' to broaden the query while maintaining the focus on biological definitions.,True,high
1106007,define visceral?,what are visceral organs?,Generalization,The term 'visceral' was replaced with 'visceral organs' to broaden the query and cover a wider range of related topics.,True,high
1124210,tracheids are part of _____.,tracheids are part of which plant structures,Generalization,The specific term '_____' was replaced with a more general term 'which plant structures' to broaden the query.,True,high
490595,rsa definition key,public key cryptography definition,Generalization,Replaced 'rsa' with 'public key cryptography' to broaden the scope while maintaining the focus on key definitions.,True,high
1103812,who formed the commonwealth of independent states,which countries are part of post-soviet states,Generalization,The specific term 'Commonwealth of Independent States' was replaced with the more general term 'post-Soviet states' to broaden the query.,True,high
87181,causes of left ventricular hypertrophy,causes of cardiac hypertrophy,Generalization,Replaced 'left ventricular' with 'cardiac' to broaden the query to cover hypertrophy in any part of the heart.,True,high
443396,lps laws definition,laws defining legal principles,Generalization,Replaced 'lps' with 'legal principles' to broaden the scope of the query while maintaining the intent of understanding laws and definitions.,True,high
1121709,what are the three percenters?,what are some groups with a strong belief in individual rights?,Generalization,The term 'three percenters' was replaced with a more general description of groups that share similar beliefs.,True,high
87452,causes of military suicide,causes of service member suicide,Generalization,"The term 'military' was replaced with 'service member' to encompass a broader category that includes all types of service members, not just those in the military.",True,high
855410,what is theraderm used for,what are topical skin treatments used for,Generalization,Replaced 'theraderm' with 'topical skin treatments' to broaden the query.,True,high
1114646,what is famvir prescribed for,what conditions are antiviral medications prescribed for,Generalization,Replaced 'Famvir' with 'antiviral medications' to broaden the query to cover a wider range of related treatments.,True,high
19335,anthropological definition of environment,definition of environment in social sciences,Generalization,The term 'anthropological' was replaced with 'social sciences' to broaden the scope while maintaining the focus on a definition of environment.,True,high
47923,axon terminals or synaptic knob definition,neurotransmitter release sites definition,Generalization,Replaced 'axon terminals or synaptic knob' with 'neurotransmitter release sites' to cover a broader range of related structures in neuroscience.,True,high
405717,is cdg airport in main paris,are major airports located within paris,Generalization,Replaced 'cdg airport' with 'major airports' to broaden the query.,True,high
182539,example of monotonic function,examples of functions with consistent behavior,Generalization,Replaced 'monotonic function' with 'functions with consistent behavior' to broaden the query while maintaining the intent.,True,high
