qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow larger,Semantic Clarification,The term 'grow' was clarified to 'grow larger' to specify the aspect of growth being inquired about.,True,high
1110199,what is wifi vs bluetooth,comparison between wifi and bluetooth technologies,Semantic Clarification,Replaced 'what is' with 'comparison between' to clarify the intent of comparing two technologies.,True,high
1063750,why did the us volunterilay enter ww1,why did the united states voluntarily enter world war i,Semantic Clarification,Replaced 'us' with 'united states' and 'ww1' with 'world war i' to clarify the terms.,True,high
130510,definition declaratory judgment,definition of declaratory judgment,Semantic Clarification,Added 'of' to clarify that the definition is being sought for the term 'declaratory judgment'.,True,high
489204,right pelvic pain causes,causes of right-sided pelvic pain,Semantic Clarification,Replaced 'right pelvic pain' with 'right-sided pelvic pain' to specify the location more clearly.,True,high
573724,what are the social determinants of health,what are the key factors that influence health outcomes,Semantic Clarification,Replaced 'social determinants' with 'key factors that influence health outcomes' to make the query more specific and understandable.,True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila bacteria cause pneumonia,Semantic Clarification,The term 'legionella pneumophila' was clarified by specifying it as a bacteria to make the query more precise and understandable.,True,high
1133167,how is the weather in jamaica,current weather conditions in jamaica,Semantic Clarification,Replaced 'weather' with 'current weather conditions' to make the query more specific and clear.,True,high
527433,types of dysarthria from cerebral palsy,specific types of dysarthria associated with cerebral palsy,Semantic Clarification,Replaced 'types' with 'specific types' and added 'associated with' to clarify the relationship between dysarthria and cerebral palsy.,True,high
1037798,who is robert gray,who is robert gray,Semantic Clarification,The name 'robert gray' is already specific and does not contain ambiguous terms that need clarification.,False,high
915593,what types of food can you cook sous vide,which specific types of food are suitable for sous vide cooking,Semantic Clarification,Replaced 'types of food' with 'specific types of food' and 'can you cook' with 'are suitable for' to make the query more precise.,True,high
264014,how long is life cycle of flea,what is the duration of a flea's life cycle,Semantic Clarification,Replaced 'how long' with 'what is the duration of' to make the query more specific and clear.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce soil erosion,Semantic Clarification,"The term 'reduce' was clarified by specifying what it reduces, which is 'soil erosion', to make the query more specific and understandable.",True,high
962179,when was the salvation army founded,when was the salvation army established,Semantic Clarification,Replaced 'founded' with 'established' to make the query more precise and contextually relevant.,True,high
1117099,what is a active margin,what is an active tectonic margin,Semantic Clarification,Replaced 'active margin' with 'active tectonic margin' to provide more context and clarity.,True,high
148538,difference between rn and bsn,difference between registered nurse (RN) and bachelor of science in nursing (BSN),Semantic Clarification,"Replaced 'rn' and 'bsn' with their full, contextually relevant terms to clarify the query.",True,high
451602,medicare's definition of mechanical ventilation,medicare's definition of mechanical breathing support,Semantic Clarification,Replaced 'mechanical ventilation' with 'mechanical breathing support' to clarify the term and make it more understandable.,True,high
359349,how to find the midsegment of a trapezoid,how to calculate the midsegment of a trapezoid,Semantic Clarification,Replaced 'find' with 'calculate' to specify the action more precisely.,True,high
1115776,what is an aml surveillance analyst,what are the responsibilities of an aml surveillance analyst,Semantic Clarification,Replaced 'is' with 'responsibilities of' to clarify the role and duties of the position.,True,high
1112341,what is the daily life of thai people,what are the daily activities of people in thailand,Semantic Clarification,Replaced 'daily life' with 'daily activities' to make the query more specific and understandable.,True,high
131843,definition of a sigmet,definition of a significant meteorological information (SIGMET) alert,Semantic Clarification,Replaced 'sigmet' with its full form and context to clarify the term.,True,high
104861,cost of interior concrete flooring,price of interior concrete flooring installation,Semantic Clarification,Replaced 'cost' with 'price' and added 'installation' to clarify the specific aspect of the cost being inquired about.,True,high
833860,what is the most popular food in switzerland,what are the most commonly consumed foods in switzerland,Semantic Clarification,Replaced 'popular' with 'commonly consumed' to specify the context of popularity.,True,high
207786,how are some sharks warm blooded,which sharks are endothermic,Semantic Clarification,Replaced 'warm blooded' with 'endothermic' to clarify the biological term and make the query more precise.,True,high
1114819,what is durable medical equipment consist of,what components make up durable medical equipment,Semantic Clarification,Replaced 'consist of' with 'components make up' to clarify the query and make it more specific.,True,high
183378,exons definition biology,definition of exons in molecular biology,Semantic Clarification,Replaced 'biology' with 'molecular biology' to provide a more specific context for the definition of exons.,True,high
1106007,define visceral?,what does visceral mean,Semantic Clarification,Replaced 'define' with a more direct question format to clarify the intent of understanding the meaning of 'visceral'.,True,high
1124210,tracheids are part of _____.,tracheids are part of which plant tissue,Semantic Clarification,Replaced the blank with a more specific and contextually relevant term 'which plant tissue' to clarify the query.,True,high
490595,rsa definition key,definition of rsa key,Semantic Clarification,"Replaced 'rsa definition key' with more precise terms to clarify the intent, focusing on defining what an RSA key is.",True,high
1103812,who formed the commonwealth of independent states,which countries formed the commonwealth of independent states,Semantic Clarification,Replaced 'who' with 'which countries' to clarify that the query is about the entities (countries) involved in forming the Commonwealth of Independent States.,True,high
