qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow to full size in home aquariums,Contextual Expansion,Added context about the environment (home aquariums) and a specific aspect of growth (to full size) to make the query more precise.,True,high
1110199,what is wifi vs bluetooth,what are the differences between wifi and bluetooth technologies,Contextual Expansion,Added 'technologies' to provide more context on the comparison between WiFi and Bluetooth.,True,high
1063750,why did the us volunterilay enter ww1,why did the us voluntarily enter ww1 during 1917,Contextual Expansion,Added the specific year (1917) to provide more context and refine the search results.,True,high
130510,definition declaratory judgment,definition of declaratory judgment in legal context,Contextual Expansion,Added 'in legal context' to provide more specific context for the search.,True,high
489204,right pelvic pain causes,causes of right pelvic pain in women,Contextual Expansion,"Added 'in women' to provide more specific context, as this can help refine the search results.",True,high
573724,what are the social determinants of health,what are the social determinants of health in urban areas,Contextual Expansion,Added 'in urban areas' to provide a specific context that can help refine the search results.,True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia in humans,Contextual Expansion,Added 'in humans' to provide more specific context about the host affected by Legionella pneumophila.,True,high
1133167,how is the weather in jamaica,current weather conditions and forecast for jamaica,Contextual Expansion,Added 'current weather conditions and forecast' to provide more specific context about the type of weather information sought.,True,high
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy in pediatric patients,Contextual Expansion,Added 'in pediatric patients' to provide more specific context and refine the search results.,True,high
1037798,who is robert gray,who is robert gray historian,Contextual Expansion,"Added a potential context 'historian' to make the query more specific, assuming Robert Gray might be known in this field.",True,medium
915593,what types of food can you cook sous vide,what types of food can you cook sous vide for different cuisines,Contextual Expansion,Added 'for different cuisines' to provide more context and refine the search results.,True,high
264014,how long is life cycle of flea,how long is the life cycle of a flea from egg to adult,Contextual Expansion,Added specific stages of the flea's life cycle (egg to adult) to provide more context and refine the search results.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce in soil erosion,Contextual Expansion,Added 'in soil erosion' to provide more specific context about what aspect of contour plowing is being queried.,True,high
962179,when was the salvation army founded,when was the salvation army founded and what were its initial goals,Contextual Expansion,Added a question about the initial goals of The Salvation Army to provide more context.,True,high
1117099,what is a active margin,what is an active margin in plate tectonics,Contextual Expansion,Added 'in plate tectonics' to provide more specific context about the term 'active margin'.,True,high
148538,difference between rn and bsn,difference between registered nurse (RN) and bachelor of science in nursing (BSN) degrees,Contextual Expansion,Added specific terms 'registered nurse' and 'bachelor of science in nursing' to clarify the types of degrees being compared.,True,high
451602,medicare's definition of mechanical ventilation,medicare's definition of mechanical ventilation for reimbursement purposes,Contextual Expansion,Added 'for reimbursement purposes' to provide more specific context related to Medicare's policies.,True,high
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid in geometry,Contextual Expansion,Added 'in geometry' to provide additional context and specify the field of study.,True,high
1115776,what is an aml surveillance analyst,what are the responsibilities of an aml surveillance analyst,Contextual Expansion,Added 'responsibilities' to provide more context and specificity to the role.,True,high
1112341,what is the daily life of thai people,daily life of thai people including cultural practices and traditions,Contextual Expansion,Added 'including cultural practices and traditions' to provide more specific context about aspects of daily life.,True,high
131843,definition of a sigmet,definition of a sigmet in aviation meteorology,Contextual Expansion,Added 'in aviation meteorology' to provide context and specificity to the query.,True,high
104861,cost of interior concrete flooring,cost of interior concrete flooring for a 1000 sq ft home,Contextual Expansion,Added specific context about the size of the home to refine the search results.,True,high
833860,what is the most popular food in switzerland,what are the most popular traditional foods in switzerland,Contextual Expansion,Added 'traditional' to specify that the query is interested in popular foods that are also part of Swiss culinary heritage.,True,high
207786,how are some sharks warm blooded,which species of sharks are warm blooded and how does this adaptation benefit them,Contextual Expansion,Added specific context about which shark species are warm-blooded and the benefits of this adaptation to refine the search results.,True,high
1114819,what is durable medical equipment consist of,what does durable medical equipment consist of for home use,Contextual Expansion,Added 'for home use' to provide more specific context about the type of durable medical equipment being inquired about.,True,high
183378,exons definition biology,definition of exons in molecular biology,Contextual Expansion,Added 'in molecular biology' to provide more specific context for the definition of exons.,True,high
1106007,define visceral?,define visceral in medical terminology,Contextual Expansion,Added 'in medical terminology' to provide context and refine the search results.,True,high
1124210,tracheids are part of _____.,tracheids are part of which plant tissue system,Contextual Expansion,Added 'which plant tissue system' to provide more specific context about where tracheids are found.,True,high
490595,rsa definition key,rsa definition key cryptography,Contextual Expansion,Added 'cryptography' to provide context that RSA is a cryptographic algorithm.,True,high
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states after the dissolution of the soviet union,Contextual Expansion,Added the context of 'after the dissolution of the soviet union' to provide a more specific timeframe for the formation of the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy in patients with hypertension,Contextual Expansion,Added 'in patients with hypertension' to provide a specific context that can refine the search results.,True,high
