qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,do goldfish grow in home aquariums,Location Specification,Specified 'in home aquariums' to provide a geographical context for where goldfish are typically kept.,True,high
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth in a home environment,Location Specification,Added 'in a home environment' to specify the location or context where WiFi and Bluetooth are being compared.,True,high
1063750,why did the us volunterilay enter ww1,why did the us voluntarily enter ww1 in europe,Location Specification,Added 'in europe' to specify the geographical context of World War I.,True,high
130510,definition declaratory judgment,definition of declaratory judgment in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
489204,right pelvic pain causes,causes of pain in the right side of the pelvis,Location Specification,The location 'right pelvic' was specified more precisely to 'the right side of the pelvis' to make the query more targeted.,True,high
573724,what are the social determinants of health,what are the social determinants of health in the United States,Location Specification,Added a specific location (United States) to make the query more targeted.,True,high
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia in specific regions,Location Specification,Added a reference to 'specific regions' to clarify the geographical context of the query.,True,medium
1133167,how is the weather in jamaica,weather in montego bay jamaica,Location Specification,Specified a specific location (Montego Bay) within Jamaica to make the query more targeted.,True,high
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy in children,Location Specification,"The pattern was not directly applicable as the query does not involve a geographical location. However, to maintain the intent and apply a form of specification, 'in children' was added to specify the demographic context.",False,low
1037798,who is robert gray,who is robert gray from seattle washington,Location Specification,"Added a specific location (Seattle, Washington) to clarify the geographical context of the query.",True,high
915593,what types of food can you cook sous vide,what types of food can you cook sous vide in a home kitchen,Location Specification,Added 'in a home kitchen' to specify the location where the cooking is taking place.,True,high
264014,how long is life cycle of flea,how long is life cycle of flea in temperate regions,Location Specification,Added 'in temperate regions' to specify a geographical context where fleas are commonly found.,True,high
1121402,what can contour plowing reduce,what can contour plowing reduce in the midwestern united states,Location Specification,Added a specific geographical context (midwestern United States) to make the query more targeted.,True,high
962179,when was the salvation army founded,when was the salvation army founded in london england,Location Specification,"Specified the location 'London, England' to clarify the geographical context of the founding of The Salvation Army.",True,high
1117099,what is a active margin,what is an active margin in the pacific northwest,Location Specification,Added a specific geographical context (Pacific Northwest) to clarify the location of the active margin being referred to.,True,high
148538,difference between rn and bsn,difference between rn and bsn in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
451602,medicare's definition of mechanical ventilation,medicare's definition of mechanical ventilation in the united states,Location Specification,Added 'in the united states' to specify the geographical context of Medicare.,True,high
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,Location Specification,"The query does not involve a geographical location or region, so the Location Specification pattern is not applicable.",False,high
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst in new york,Location Specification,Added 'in new york' to specify the geographical context of the query.,True,high
1112341,what is the daily life of thai people,daily life of people in Bangkok Thailand,Location Specification,"Specified the exact location (Bangkok, Thailand) to make the query more targeted.",True,high
131843,definition of a sigmet,definition of a sigmet for aviation in europe,Location Specification,Added 'for aviation in europe' to specify the geographical context and maintain the original intent.,True,high
104861,cost of interior concrete flooring,cost of interior concrete flooring in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
833860,what is the most popular food in switzerland,what is the most popular food in zurich switzerland,Location Specification,Specified a city (Zurich) within Switzerland to make the query more targeted.,True,high
207786,how are some sharks warm blooded,how are some sharks warm blooded in the pacific ocean,Location Specification,Added a specific geographical context (the Pacific Ocean) to make the query more targeted.,True,high
1114819,what is durable medical equipment consist of,what durable medical equipment is used in hospitals,Location Specification,"The location 'hospitals' was added to specify where the durable medical equipment is used, making the query more targeted.",True,medium
183378,exons definition biology,exons definition biology in human genome,Location Specification,Specified 'in human genome' to clarify the biological context of exons.,True,high
1106007,define visceral?,define visceral in human anatomy,Location Specification,Specified 'in human anatomy' to clarify the context of the definition.,True,high
1124210,tracheids are part of _____.,tracheids are part of what plant tissue,Location Specification,The pattern was not applicable as the query does not involve a geographical location. The original query is returned unchanged.,False,high
490595,rsa definition key,rsa definition key,Location Specification,The query does not contain a geographical context or location that can be specified. The original query is about a technical term and does not benefit from specifying a location.,False,high
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states in europe,Location Specification,Added 'in europe' to specify the geographical context of the Commonwealth of Independent States.,True,high
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy in humans,Location Specification,"Specified 'in humans' to clarify the biological context, as the original query could be interpreted more broadly.",True,high
443396,lps laws definition,lps laws definition in california,Location Specification,Added 'in california' to specify the geographical context of the query.,True,high
1121709,what are the three percenters?,what are the three percenters in the united states,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
87452,causes of military suicide,causes of military suicide in the United States,Location Specification,Added 'in the United States' to specify the geographical context of the query.,True,high
855410,what is theraderm used for,what is theraderm used for in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
1114646,what is famvir prescribed for,what is famvir prescribed for in the united states,Location Specification,Added 'in the united states' to specify the geographical context of the query.,True,high
19335,anthropological definition of environment,anthropological definition of environment in the Amazon rainforest,Location Specification,Added a specific geographical context (Amazon rainforest) to make the query more targeted.,True,high
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition in neural synapses,Location Specification,Specified the exact location (neural synapses) to make the query more targeted.,True,high
405717,is cdg airport in main paris,is cdg airport located in central paris,Location Specification,Clarified the location by specifying 'central' to make the query more targeted.,True,high
182539,example of monotonic function,example of monotonic function,Location Specification,The pattern 'Location Specification' is not applicable to this query as it does not involve a geographical context.,False,high
1113437,what is physical description of spruce,physical description of spruce in north america,Location Specification,Added 'in north america' to specify the geographical context of the query.,True,high
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature on Earth,Location Specification,Added 'on Earth' to specify the location context of the query.,True,high
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger at mcdonald's in the united states,Location Specification,Added 'at mcdonald's in the united states' to specify the geographical context of the query.,True,high
