qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
1030303,who is aziz hashim,who is aziz hashim,Clarify Subject,"The subject 'aziz hashim' is already clear and specific, no further clarification needed.",False,high
1037496,who is rep scalise?,who is steve scalise,Clarify Subject,The main subject 'rep scalise' was clarified to 'steve scalise' to better reflect the user's intent.,True,high
1043135,who killed nicholas ii of russia,who was responsible for nicholas ii of russia's death,Clarify Subject,"The main subject 'Nicholas II of Russia' is clarified to specify the context of his death, ensuring the query accurately reflects the user's intent.",True,high
1051399,who sings monk theme song,who sings the theme song for monk,Clarify Subject,The main subject 'monk theme song' was refined to 'the theme song for monk' to better reflect the user's intent.,True,high
1064670,why do hunters pattern their shotguns?,what is the purpose of patterning shotguns for hunters,Clarify Subject,The main subject 'hunters pattern their shotguns' was refined to 'the purpose of patterning shotguns for hunters' to better reflect the user's intent.,True,high
1071750,why is pete rose banned from hall of fame,why is pete rose ineligible for the hall of fame,Clarify Subject,"The main subject 'pete rose' was clarified to better reflect his status as being ineligible, which more accurately represents the user's intent.",True,high
1105792,define: geon,what is the definition of geon,Clarify Subject,The main subject 'geon' was clarified to explicitly ask for its definition.,True,high
1106979,define pareto chart in statistics,what is a pareto chart in statistical analysis,Clarify Subject,The main subject 'pareto chart' was refined to 'a pareto chart in statistical analysis' to better reflect the user's intent.,True,high
1108651,what the best way to get clothes white,what is the best method to whiten clothes,Clarify Subject,The main subject 'best way' was refined to 'best method' to better reflect the user's intent of finding an effective technique.,True,high
1109707,what medium do radio waves travel through,what medium do radio waves propagate through,Clarify Subject,Replaced 'travel' with 'propagate' to more accurately reflect the technical nature of the query.,True,high
1110678,what is the un fao,what is the united nations food and agriculture organization,Clarify Subject,The main subject 'un fao' was expanded to its full name 'United Nations Food and Agriculture Organization' for clarity.,True,high
1113256,what is reba mcentire's net worth,what is reba mcentire's current net worth,Clarify Subject,Added 'current' to clarify that the query is about Reba McEntire's present financial status.,True,high
1115210,what is chaff and flare,what are chaff and flare used for,Clarify Subject,The main subject 'chaff and flare' was refined to better reflect the user's intent by specifying their usage.,True,high
1116380,what is a nonconformity? earth science,what is a nonconformity in earth science,Clarify Subject,The main subject 'nonconformity' was clarified by specifying its context within earth science.,True,high
1121353,what can you do about discrimination in the workplace in oklahoma city,what measures can be taken to address workplace discrimination in oklahoma city,Clarify Subject,The main subject 'what can you do' was refined to 'what measures can be taken' to better reflect the user's intent of seeking specific actions or solutions.,True,high
1122767,what amino produces carnitine,which amino acid produces carnitine,Clarify Subject,The main subject 'amino' was refined to 'amino acid' to better reflect the user's intent.,True,high
