qid,original_query,reformulated_query,pattern_applied,explanation,applicable,confidence
156493,do goldfish grow,how big do goldfish grow,Clarify Intent,The query was rephrased to directly address the user's intent of understanding the growth size of goldfish.,True,high
1110199,what is wifi vs bluetooth,compare wifi and bluetooth technologies,Clarify Intent,"The query was rephrased to directly address the user's intent of comparing WiFi and Bluetooth, making it more specific and actionable.",True,high
1063750,why did the us volunterilay enter ww1,what were the reasons for the us voluntarily entering ww1,Clarify Intent,The query was rephrased to directly address the user's need for information about the reasons behind the US decision to enter WWI.,True,high
130510,definition declaratory judgment,what is a declaratory judgment used for,Clarify Intent,The query was rephrased to directly address the user's intended action of understanding the purpose or use of a declaratory judgment.,True,high
489204,right pelvic pain causes,what are the common causes of right pelvic pain,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific causes of right pelvic pain.,True,high
573724,what are the social determinants of health,list the key social determinants of health,Clarify Intent,"The query was rephrased to directly request a list of the key factors, making it more specific and actionable.",True,high
168216,does legionella pneumophila cause pneumonia,what are the symptoms of pneumonia caused by legionella pneumophila,Clarify Intent,"The query was rephrased to directly address the user's need for information about the specific effects of Legionella pneumophila, focusing on the symptoms it causes.",True,high
1133167,how is the weather in jamaica,what is the current weather forecast for jamaica,Clarify Intent,The query was rephrased to directly address the user's need for the current weather information in Jamaica.,True,high
527433,types of dysarthria from cerebral palsy,what are the specific types of dysarthria associated with cerebral palsy,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific types of dysarthria that can result from cerebral palsy.,True,high
1037798,who is robert gray,what are the key achievements of robert gray,Clarify Intent,"The query was rephrased to directly address what specific information is sought about Robert Gray, focusing on his key achievements.",True,high
915593,what types of food can you cook sous vide,list of foods suitable for sous vide cooking,Clarify Intent,The query was rephrased to directly address the user's need for a list of foods that can be cooked using the sous vide method.,True,high
264014,how long is life cycle of flea,what are the stages and duration of a flea's life cycle,Clarify Intent,The query was rephrased to directly address the user's need for information about the specific stages and their durations in a flea's life cycle.,True,high
1121402,what can contour plowing reduce,how does contour plowing reduce soil erosion,Clarify Intent,"The query was rephrased to directly address the specific effect of contour plowing, which is reducing soil erosion.",True,high
